task,backend,model,id,text,true_emotion,predicted_emotion,correct,response,fluency,emotional_accuracy,empathy,helpfulness,safety,latency_s,error
classify,openrouter,openai/gpt-5,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,3.78,
classify,openrouter,google/gemini-2.5-pro,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,8.86,
classify,openrouter,anthropic/claude-sonnet-4,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,3.44,
classify,openrouter,qwen/qwen3-235b-a22b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,1.83,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,0.92,
classify,openrouter,openai/gpt-5,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,3.58,
classify,openrouter,google/gemini-2.5-pro,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,6.37,
classify,openrouter,anthropic/claude-sonnet-4,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,2.01,
classify,openrouter,qwen/qwen3-235b-a22b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,3.93,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,1.73,
