task,backend,model,id,text,true_emotion,predicted_emotion,correct,response,fluency,emotional_accuracy,empathy,helpfulness,safety,latency_s,error
classify,groq,openai/gpt-oss-120b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,0.57,
classify,groq,openai/gpt-oss-120b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,0.38,
classify,groq,openai/gpt-oss-120b,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,0.41,
classify,groq,openai/gpt-oss-120b,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,nervous,1,,,,,,,0.49,
classify,groq,openai/gpt-oss-120b,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,disgust,1,,,,,,,0.5,
classify,groq,openai/gpt-oss-120b,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,surprise,1,,,,,,,0.52,
classify,groq,openai/gpt-oss-120b,7,بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.,joy,joy,1,,,,,,,0.52,
classify,groq,openai/gpt-oss-120b,8,این روزها هیچ انگیزه‌ای ندارم و فقط دلم می‌خواد گریه کنم.,sadness,sadness,1,,,,,,,0.39,
classify,groq,openai/gpt-oss-120b,9,چطور تونست انقدر راحت بهم دروغ بگه؟ از دستش خیلی شاکی‌ام.,anger,anger,1,,,,,,,0.57,
classify,groq,openai/gpt-oss-120b,10,تنهایی تو این شهر غریب می‌ترسونتم، نمی‌دونم از پس کارها برمیام یا نه.,fear,nervous,0,,,,,,,0.88,
classify,groq,openai/gpt-oss-120b,11,بوی غذای مونده‌ی توی یخچال حالم رو بد کرد.,disgust,disgust,1,,,,,,,0.33,
classify,groq,openai/gpt-oss-120b,12,باورم نمیشه این همه سال بعد، اتفاقی توی خیابون دیدمش!,surprise,surprise,1,,,,,,,0.49,
classify,groq,openai/gpt-oss-120b,13,نصفه‌شب با صدای شکستنِ شیشه از خواب پریدم و از ترس خشکم زد.,fear,fear,1,,,,,,,0.43,
classify,groq,openai/gpt-oss-120b,14,فردا اولین روزِ کاری‌مه و از استرس دلشوره دارم و دستام یخ کرده.,nervous,nervous,1,,,,,,,0.53,
classify,groq,openai/gpt-oss-120b,15,وای امروز حقوقم رو ریختن، انقدر خوشحالم که می‌خوام شب همه‌ی بچه‌ها رو ببرم شام!,joy,joy,1,,,,,,,0.53,
classify,groq,openai/gpt-oss-120b,16,کل هفته نگرانِ جواب آزمایش بودم، ولی دکتر گفت هیچ مشکلی نیست؛ انگار یه کوه از رو دوشم برداشتن، از خوشحالی زدم زیر گریه.,joy,joy,1,,,,,,,0.43,
classify,groq,openai/gpt-oss-120b,17,روز فارغ‌التحصیلیم بود، یه طرف دلم برای دوستام که داشتن می‌رفتن تنگ شده بود، ولی انقدر به خودم افتخار می‌کردم که آخرش با لبخند از در دانشگاه زدم بیرون.,joy,joy,1,,,,,,,0.7,
classify,groq,openai/gpt-oss-120b,18,دلم گرفته، هیچ‌کس نیست حالم رو بپرسه.,sadness,sadness,1,,,,,,,0.57,
classify,groq,openai/gpt-oss-120b,19,گوشیم رو که برمی‌دارم می‌بینم دیگه پیاماش نمیاد، تازه می‌فهمم چقدر جاش خالیه.,sadness,sadness,1,,,,,,,0.43,
classify,groq,openai/gpt-oss-120b,20,از صبح یه بغض عجیب تو گلومه، می‌رم سر کار و می‌خندم و با همه حرف می‌زنم، ولی شب که می‌رسم خونه انگار همه‌ی غما یهو می‌ریزن سرم.,sadness,sadness,1,,,,,,,0.67,
classify,groq,openai/gpt-oss-120b,21,بازم قول داد و بدقولی کرد، دیگه واقعاً کفرم درومده!,anger,anger,1,,,,,,,0.46,
classify,groq,openai/gpt-oss-120b,22,هرچی بهش می‌گم گوش نمی‌ده، انگار دارم با دیوار حرف می‌زنم، دیگه حوصله‌ی این لجبازیاش رو ندارم.,anger,anger,1,,,,,,,0.57,
classify,groq,openai/gpt-oss-120b,23,یه ساعت تو صف وایسادم، بعد یارو با پارتی‌بازی از راه نرسیده کارش رو راه انداخت و رفت، خونم به جوش اومد.,anger,anger,1,,,,,,,0.52,
