task,backend,model,id,text,true_emotion,predicted_emotion,correct,response,fluency,emotional_accuracy,empathy,helpfulness,safety,latency_s,error
advise,groq,llama-3.3-70b-versatile,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,,,تبریک فراوان! این یک خبر非常 خوب است! خوشحالی تو کاملا قابل درک است. این یک موفقیت بزرگ برایت است و از تلاش‌های تو نتیجه‌ی شیرین گرفته‌ای. برای حفظ این انرژی مثبت،.Maybe یک جشن کوچک با خانواده یا دوستان نزدیک داشته باشی یا یک فعالیت مورد علاقه‌ات را انجام دهی تا این لحظه‌ی شیرین را بیشتر احساس کنی. ادامه‌ی مسیرت را هم پر از موفقیت و شادی آرزو دارم!,5,5,5,4,5,0.79,
advise,groq,meta-llama/llama-4-scout-17b-16e-instruct,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,,,تبریک می‌گم، واقعاً خوشحال و مفتخریم که این خبر خوشحال‌کننده رو شنیدم. احساسِ موفقیت و شادیِ تو کاملاً طبیعی و قابل درکه. از این لحظه‌ شاد و این موفقیت رو برای خودت جشن بگیر. آینده‌ت پر از موفقیت و پیشرفت باشه.,5,5,5,4,5,0.92,
advise,groq,openai/gpt-oss-120b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,,,"وای! چه خبر عالی! قبول شدن تو دانشگاهی که همیشه می‌خواستید، واقعاً دلگرم‌کننده‌ست. خوشحالی‌تان را کاملاً درک می‌کنم؛ این لحظه را به‌خوبی جشن بگیرید. 🎉

۱️⃣ امروز یک کاری کوچک که به‌خاطر این موفقیت خوشحالتان می‌کند (مثلاً یک کیک یا یک فیلم مورد علاقه) انجام بدهید.  
۲️⃣ یک یادداشت کوتاه یا لیستی از گام‌های بعدی‌تان (مثل ثبت‌نام، خرید کتاب‌ها یا برنامه‌ریزی برای مسکن) بنویسید تا انرژی مثبت را به سمت پیشرفت هدایت کنید.  

آفرین بر شما! 🌟",5,5,5,5,5,1.12,
advise,ollama,llama3.2:latest,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,,,خداحافظ از این لحظه تا الان! امیدی بر من داشته باشید که در مسیر خود پیشرفت کنید و به سراغ آرزوهایتان برسید.,4,2,3,2,5,0.58,
advise,ollama,gemma3:4b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,,,"وای! چه خبر شگفت‌انگیزی! واقعاً حق نداری که اینقدر خوشحال باشی. این یه دستاورد فوق‌العاده‌ست و لیاقتت رو داشته. به خودت افتخار کن! 

یه کم استراحت کن و این حس خوب رو حس کن. می‌تونی یه چیزی خوشمزه بپزی یا با یه دوست مورد علاقه‌ات یه قدم بزنی. ❤️",5,5,5,4,5,1.53,
advise,ollama,qwen3:8b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,,,"خوشحالم که این اتفاق خوبی افتاد! این یک قدم بزرگ در زندگیت هست، و احساس خوشحالی که داری کاملاً طبیعی و درسته. موفقیتی که به دلش داشتی، الان به تو رسید! 💫  
اگر می‌تونی، این موفقیت رو با کسایی که در کنارت بودن به اشتراک بذار که حس خوشحالی رو بیشتر اشکال بده! 😊",5,5,4,4,5,6.87,
advise,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,,,وای خدای من! چه خبریه؟ این خبر خیلی خوب و شگفت‌انگیزه. افتخار کردی که به چنین دانشگاهی قبول شدی. مطمئنم داری پر از احساسات قوی هستی، از شادی و خوشحالی. بیا با هم به این موفقیتت تبریک بگیم و یه جشن کوچیک بگیریم!,5,5,5,2,5,4.46,
advise,groq,llama-3.3-70b-versatile,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,,,از دست دادن یک عزیز特别 مثل پدربزرگ، خیلی سخت و دردناکه. دلتنگی تو کاملا طبیعی و قابل‌درکه. میتونی با نگاه کردن به عکس‌ها یا یادآوری خاطرات خوبت با پدربزرگ، به اون‌ها فکر کنی و احساساتت رو پردازش کنی. شاید نوشتن در دفتر خاطراتت یا صحبت کردن با یک دوست یا خانواده‌ای که能فهمت کنه، کمکت کنه احساساتت رو بهتر بفهمی و با اون‌ها کنار بیایی.,5,5,5,5,5,0.96,
advise,groq,meta-llama/llama-4-scout-17b-16e-instruct,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,,,"احساس می‌کنم که دلتنگ هستی و جای خالی پدربزرگت برایت خیلی سخت است. طبیعی است که بعد از رفتن کسی که دوستش داری، احساس خالی بودن و سرد بودن محیط را داشته باشی. 

پیشنهاد می‌کنم عکس‌ها و خاطراتت را با دوستان و اعضای فامیل به اشتراک بگذاری تا با هم خاطرات خوبی را مرور کنید. همچنین می‌توانی چیزهایی که یادت می‌دهد را بنویسی و در جایی نگه داری تا هر وقت دلتنگ شدی، آنها را بخوانی و یادت بیاید.",5,5,5,4,5,0.82,
advise,groq,openai/gpt-oss-120b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,,,"دلم برای پدربزرگت تنگ شده، این حس غم و خلأ طبیعی است؛ تو فقط به یادش هستی و این نشان می‌دهد چه‌قدر برایت ارزش داشته.  

1️⃣ امروز چند دقیقه وقت بگذار و یک نامه یا یادداشت کوتاه برای او بنویس؛ حتی اگر فقط برای خودت باشد، می‌تواند احساساتت را آرام‌تر کند.  
2️⃣ اگر امکان دارد، با یکی از اعضای خانواده یا دوستی که به این موضوع حساس است، دربارهٔ خاطرات شیرین‌تان صحبت کن؛ به اشتراک گذاشتن این لحظات می‌تواند حس تنهایی را کمی کم کند.  

اگر این حس خالی بودن و سردی به‌طور مداوم ادامه پیدا کرد و زندگی روزمره‌ات را تحت‌تأثیر گذاشت، حتماً با یک مشاور یا روان‌پزشک صحبت کن؛ دریافت حمایت حرفه‌ای می‌تواند بهت کمک کند تا این دوران سخت را بهتر پشت سر بگذاری. 🌿",5,5,5,5,5,0.88,
advise,ollama,llama3.2:latest,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,,,"این در واقع یک Signsِ ترس یا گریزه است که می‌تواند نشان دهنده ی دردهای روانی و psikولوژیکی فرد باشد.

پدربزرگ شما به عنوان یک figure maternal و protective است که می تواند بر سلامت روانی شما affects باشد. اگر از پدربزرگ شما جدا شده اید، این تغییرها ممکن است به چالش و ترس برای شما تبدیل شود. 

چون من فقط یک AI هستم، نمی توانم به شرایط خاص bạn در مورد پدربزرگ خود کمک کنم، اما می توانید با:

* به تازگی از پدربزرگ خود جدا شده اید.
* احساس جدی بودن ترس یا گریزه خود را نشان دهید
* به یک درمان و مشاوره روانی برسید",2,1,1,2,3,2.0,
advise,ollama,gemma3:4b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,,,"وای، چه دردناکی! از اینکه اینقدر دلت برای پدربزرگت تنگ شده، خیلی درک می‌کنم. رفتنش واقعاً یه حفره بزرگ تو زندگی‌مون می‌ذاره. این حس خالی بودن و سرد بودن خیلی طبیعیه. 

یه چیزی که می‌تونی امتحان کنی، مرور خاطرات قشنگش باشه. یه عکسش رو ببین، یه داستان از جوونی‌ش تعریف کن، یا یه چیزی که یادآور خاطرات مشترکتون باشه. 

اگه این حس غم و سنگینی خیلی زیاده، یادت باشه که اشک ریختن و احساس کردنت خوبه. اگه فکر می‌کنی نمی‌تونی این حس رو تحمل کنی، حتماً با کسی که بهش اعتماد داری صحبت کن یا از یه متخصص کمک بگیر.",5,5,5,5,5,2.66,
advise,ollama,qwen3:8b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,,,ممنون که این حس را به اشتراک می‌گذاری. دلم هم برای پدربزرگ تو تنگ شده. می‌توانی به یاد او بروی و از هر چیزی که داشت، یاد بگیری. هر چیزی که می‌توانی بکنی، از هر چیزی که می‌توانی در خاطر بذاری، می‌تواند دلتو را کمی گرم کند. 💛,5,5,5,4,5,6.25,
advise,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,,,نگران نباشید، احساس شما کاملاً طبیعیه. فقدان یک عزیز بزرگترین و غم‌انگیزترین تجربیات زندگیه و درکِ این احساس به خودت اجازه میده که با این غم کنار بیای. سعی کنید به یاد خاطرات خوب‌هایی که با پدربزرگ داشتین باشید و بهش افتخار کنین.,5,5,4,4,5,3.92,
advise,groq,llama-3.3-70b-versatile,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,,,همه‌گی veces در زندگی مواجه با افراد و رفتارهای ناخوش‌آیند می‌شویم. احساس عصبانیتت کاملاً طبیعی است. شاید اگر یک لحظه از محیط کار بیرون بروی و نفس عمیقی بکشی یا با یک دوست صمیمی در مورد مسئله صحبت کنی، احساس بهتری پیدا کنی.,4,5,5,5,5,0.66,
advise,groq,meta-llama/llama-4-scout-17b-16e-instruct,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,,,عصبانی بودن از همکارانتان کاملا طبیعی است. پیشنهاد می‌کنم برای کاهش استرس و افزایش تمرکز، چند دقیقه‌ای پیاده‌روی کنید یا چند حرکت کششی انجام دهید. همچنین، می‌توانید با نوشتنِ احساسات و نگرانی‌هایتان در دفترچه‌خاطرات، ذهن‌تان را خالی کنید و به شرایط، با دیدگاهِ جدیدتری نگاه کنید.,5,5,4,5,5,0.48,
advise,groq,openai/gpt-oss-120b,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,,,"حس‌ات کاملاً قابل درکه؛ وقتی از رفتار کسی عصبانی می‌شیم تمرکز خیلی سخت می‌شود.  

- یک‌دو دقیقه زمان بگذار و عمیق نفس بکش؛ این کار می‌تونه آرامش لحظه‌ای بده.  
- بعد از آن، سعی کن نکات اصلی کاری‌ات را به صورت کوتاه یادداشت کنی و به ترتیب انجام بدهی؛ این روش کمک می‌کند که ذهن‌ات از خشم دورتر بشود.  

اگر احساس می‌کنی این حالت طولانی‌مدت می‌شود یا زندگی‌ات را تحت‌الشعاع می‌گذارد، حتماً با یک مشاور یا روانشناس در میان بگذار. 🌱",5,5,5,5,5,0.86,
advise,ollama,llama3.2:latest,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,,,"می داری در اثر این رفتارهای بدخیم و عدم انتباه از سوی همکار، احساس استرس و کمبود توانایی تمرکز بکشید. 

بااین حال، در نظر گرفتن این نکته مهم است که هر فردی ممکن است به‌طور ناگهانی به اوضاعی که bạnCurrently در آن هستید، بچسبد. 

البته این موضوع همواره در یک محیط کار با همکاران و مدیران خوب می‌تواند کمک کند که در چالش‌ها و مشکلات با همکاری و همکاری موفقیت‌های خود را بدست آورده و از این‌طوری هم به همکار و هم مدیر bạn و هم تیم از نظرProfessionalism وTeamwork و هماهنگی برتری می‌یابند.",4,3,2,2,4,1.89,
advise,ollama,gemma3:4b,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,,,"وای، این خیلی بد است. حق داری که عصبانی باشی و تمرکزت برهم بخوره. اینقدر به خودت سخت نگیر. اجازه بده این احساس رو ببری. 

شاید بتونی یه نفس عمیق بکشی و سعی کنی روی چیزهای کوچیک‌تر تمرکز کنی. یا اینکه یه قدم کوتاه برداری و از محیطت فاصله بگیری. اگه این عصبانیت خیلی اذیتت می‌کنه، شاید بهتر باشه با یه دوست یا مشاور صحبت کنی.",5,5,5,5,5,1.8,
