task,backend,model,id,text,true_emotion,predicted_emotion,correct,response,fluency,emotional_accuracy,empathy,helpfulness,safety,latency_s,error
classify,groq,llama-3.3-70b-versatile,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,0.13,
classify,groq,meta-llama/llama-4-scout-17b-16e-instruct,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,0.77,
classify,groq,openai/gpt-oss-120b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,,0,,,,,,,0.41,
classify,ollama,llama3.2:latest,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,1.02,
classify,ollama,gemma3:4b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,2.15,
classify,ollama,qwen3:8b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,3.12,
classify,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,2.29,
classify,groq,llama-3.3-70b-versatile,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,0.11,
classify,groq,meta-llama/llama-4-scout-17b-16e-instruct,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,0.53,
classify,groq,openai/gpt-oss-120b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,,0,,,,,,,0.41,
classify,ollama,llama3.2:latest,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,0.18,
classify,ollama,gemma3:4b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,0.19,
classify,ollama,qwen3:8b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,2.36,
classify,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,2.01,
classify,groq,llama-3.3-70b-versatile,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,0.21,
classify,groq,meta-llama/llama-4-scout-17b-16e-instruct,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,0.39,
classify,groq,openai/gpt-oss-120b,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,,0,,,,,,,0.41,
classify,ollama,llama3.2:latest,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,0.17,
classify,ollama,gemma3:4b,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,0.2,
classify,ollama,qwen3:8b,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,2.33,
classify,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,1.52,
classify,groq,llama-3.3-70b-versatile,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,nervous,1,,,,,,,0.17,
classify,groq,meta-llama/llama-4-scout-17b-16e-instruct,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,nervous,1,,,,,,,0.14,
classify,groq,openai/gpt-oss-120b,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,,0,,,,,,,0.37,
classify,ollama,llama3.2:latest,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,sadness,0,,,,,,,0.17,
classify,ollama,gemma3:4b,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,fear,0,,,,,,,0.2,
classify,ollama,qwen3:8b,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,fear,0,,,,,,,1.98,
classify,ollama,hf.co/mradermacher/gemma-3-4b-persian-v0-GGUF:latest,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,fear,0,,,,,,,1.5,
classify,groq,llama-3.3-70b-versatile,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,disgust,1,,,,,,,0.19,
