id,text,true_emotion
1,"امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!",joy
2,"دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.",sadness
3,"انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.",anger
4,"نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.",nervous
5,"وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.",disgust
6,"اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!",surprise
7,"بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.",joy
8,"این روزها هیچ انگیزه‌ای ندارم و فقط دلم می‌خواد گریه کنم.",sadness
9,"چطور تونست انقدر راحت بهم دروغ بگه؟ از دستش خیلی شاکی‌ام.",anger
10,"تنهایی تو این شهر غریب می‌ترسونتم، نمی‌دونم از پس کارها برمیام یا نه.",fear
11,"بوی غذای مونده‌ی توی یخچال حالم رو بد کرد.",disgust
12,"باورم نمیشه این همه سال بعد، اتفاقی توی خیابون دیدمش!",surprise
13,"نصفه‌شب با صدای شکستنِ شیشه از خواب پریدم و از ترس خشکم زد.",fear
14,"فردا اولین روزِ کاری‌مه و از استرس دلشوره دارم و دستام یخ کرده.",nervous
15,"وای امروز حقوقم رو ریختن، انقدر خوشحالم که می‌خوام شب همه‌ی بچه‌ها رو ببرم شام!",joy
16,"کل هفته نگرانِ جواب آزمایش بودم، ولی دکتر گفت هیچ مشکلی نیست؛ انگار یه کوه از رو دوشم برداشتن، از خوشحالی زدم زیر گریه.",joy
17,"روز فارغ‌التحصیلیم بود، یه طرف دلم برای دوستام که داشتن می‌رفتن تنگ شده بود، ولی انقدر به خودم افتخار می‌کردم که آخرش با لبخند از در دانشگاه زدم بیرون.",joy
18,"دلم گرفته، هیچ‌کس نیست حالم رو بپرسه.",sadness
19,"گوشیم رو که برمی‌دارم می‌بینم دیگه پیاماش نمیاد، تازه می‌فهمم چقدر جاش خالیه.",sadness
20,"از صبح یه بغض عجیب تو گلومه، می‌رم سر کار و می‌خندم و با همه حرف می‌زنم، ولی شب که می‌رسم خونه انگار همه‌ی غما یهو می‌ریزن سرم.",sadness
21,"بازم قول داد و بدقولی کرد، دیگه واقعاً کفرم درومده!",anger
22,"هرچی بهش می‌گم گوش نمی‌ده، انگار دارم با دیوار حرف می‌زنم، دیگه حوصله‌ی این لجبازیاش رو ندارم.",anger
23,"یه ساعت تو صف وایسادم، بعد یارو با پارتی‌بازی از راه نرسیده کارش رو راه انداخت و رفت، خونم به جوش اومد.",anger
24,"فردا مصاحبه‌ی کاری دارم و از دیشب دلشوره دارم، هی جلوی آینه با خودم تمرین می‌کنم.",nervous
25,"هم ذوق دارم که قراره بابا بشم، هم یه دلشوره‌ای ته دلمه که نکنه نتونم پدر خوبی باشم؛ یه حال عجیبیه، هی قلبم تند تند می‌زنه.",nervous
26,"تا وقتی جوابش رو نگرفتم آروم و قرار ندارم، هی گوشیم رو چک می‌کنم ببینم پیام داده یا نه.",nervous
27,"نمی‌دونم چرا، ولی هر بار باید جلوی جمع حرف بزنم دستام عرق می‌کنه و صدام می‌لرزه و حس می‌کنم همه دارن نگاهم می‌کنن.",nervous
28,"نصفه‌شب یه صدایی از تو حیاط اومد، از ترس جرئت نکردم از جام تکون بخورم.",fear
29,"چراغا که یهو خاموش شد و تو تاریکی تنها موندم، قلبم اومد تو دهنم.",fear
30,"تو جاده مه بود و ماشین جلویی یهو ترمز کرد، یه لحظه فکر کردم همه‌چی تمومه، هنوزم یادم میاد تنم می‌لرزه.",fear
31,"ظرفای چند روز مونده رو که دیدم، حالم به هم خورد.",disgust
32,"وقتی فهمیدم پشت سرم چه حرفایی زده، یه حس چندشی بهم دست داد که نگو.",disgust
33,"دستشویی رستوران انقدر کثیف و بوگرفته بود که اشتهام کامل کور شد و غذامو نخورده گذاشتم رفتم.",disgust
34,"درِ خونه رو که باز کردم، یهو همه با هم داد زدن سورپرایز!",surprise
35,"اصلاً فکرشم نمی‌کردم تو این شهر غریب یهو با همکلاسی دوران مدرسه‌م روبه‌رو بشم.",surprise
36,"گفته بود تا آخر ماه ماموریته، ولی صبح که چشمامو باز کردم دیدم با یه دسته گل بالای سرم وایساده، اصلاً باورم نمی‌شد.",surprise
