task,backend,model,id,text,true_emotion,predicted_emotion,correct,response,fluency,emotional_accuracy,empathy,helpfulness,safety,latency_s,error
classify,openrouter,openai/gpt-5,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,2.75,
classify,openrouter,google/gemini-2.5-pro,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,7.83,
classify,openrouter,anthropic/claude-sonnet-4,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,1.06,
classify,openrouter,qwen/qwen3-235b-a22b,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,1.83,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,1,امروز قبول شدم تو دانشگاهی که آرزوش رو داشتم، باورم نمی‌شه انقدر خوشحالم!,joy,joy,1,,,,,,,0.59,
classify,openrouter,openai/gpt-5,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,2.03,
classify,openrouter,google/gemini-2.5-pro,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,7.41,
classify,openrouter,anthropic/claude-sonnet-4,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,1.17,
classify,openrouter,qwen/qwen3-235b-a22b,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,3.85,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,2,دلم برای پدربزرگم خیلی تنگ شده، از وقتی رفته همه‌چیز سرد و خالی شده.,sadness,sadness,1,,,,,,,0.72,
classify,openrouter,openai/gpt-5,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,2.75,
classify,openrouter,google/gemini-2.5-pro,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,6.82,
classify,openrouter,anthropic/claude-sonnet-4,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,1.33,
classify,openrouter,qwen/qwen3-235b-a22b,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,3.45,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,3,انقدر از رفتار همکارم عصبانی‌ام که نمی‌تونم تمرکز کنم.,anger,anger,1,,,,,,,1.07,
classify,openrouter,openai/gpt-5,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,nervous,1,,,,,,,2.76,
classify,openrouter,google/gemini-2.5-pro,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,nervous,1,,,,,,,8.96,
classify,openrouter,anthropic/claude-sonnet-4,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,nervous,1,,,,,,,1.81,
classify,openrouter,qwen/qwen3-235b-a22b,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,nervous,1,,,,,,,2.68,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,4,نگرانم که نتیجه‌ی آزمایش فردا بد باشه، تمام شب خوابم نبرد.,nervous,nervous,1,,,,,,,0.77,
classify,openrouter,openai/gpt-5,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,disgust,1,,,,,,,3.04,
classify,openrouter,google/gemini-2.5-pro,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,disgust,1,,,,,,,5.91,
classify,openrouter,anthropic/claude-sonnet-4,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,disgust,1,,,,,,,2.28,
classify,openrouter,qwen/qwen3-235b-a22b,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,disgust,1,,,,,,,3.99,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,5,وقتی اون صحنه رو دیدم حالم به هم خورد، واقعاً چندش‌آور بود.,disgust,disgust,1,,,,,,,1.72,
classify,openrouter,openai/gpt-5,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,surprise,1,,,,,,,2.68,
classify,openrouter,google/gemini-2.5-pro,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,surprise,1,,,,,,,7.44,
classify,openrouter,anthropic/claude-sonnet-4,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,surprise,1,,,,,,,2.84,
classify,openrouter,qwen/qwen3-235b-a22b,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,surprise,1,,,,,,,6.0,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,6,اصلاً انتظارش رو نداشتم که برام جشن تولد بگیرن، کاملاً غافلگیر شدم!,surprise,surprise,1,,,,,,,1.03,
classify,openrouter,openai/gpt-5,7,بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.,joy,joy,1,,,,,,,3.46,
classify,openrouter,google/gemini-2.5-pro,7,بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.,joy,joy,1,,,,,,,6.79,
classify,openrouter,anthropic/claude-sonnet-4,7,بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.,joy,joy,1,,,,,,,2.01,
classify,openrouter,qwen/qwen3-235b-a22b,7,بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.,joy,joy,1,,,,,,,3.39,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,7,بعد از مدت‌ها بالاخره با دوست قدیمیم آشتی کردم و قلبم پر از آرامشه.,joy,joy,1,,,,,,,1.2,
classify,openrouter,openai/gpt-5,8,این روزها هیچ انگیزه‌ای ندارم و فقط دلم می‌خواد گریه کنم.,sadness,sadness,1,,,,,,,3.99,
classify,openrouter,google/gemini-2.5-pro,8,این روزها هیچ انگیزه‌ای ندارم و فقط دلم می‌خواد گریه کنم.,sadness,sadness,1,,,,,,,7.41,
classify,openrouter,anthropic/claude-sonnet-4,8,این روزها هیچ انگیزه‌ای ندارم و فقط دلم می‌خواد گریه کنم.,sadness,sadness,1,,,,,,,0.98,
classify,openrouter,qwen/qwen3-235b-a22b,8,این روزها هیچ انگیزه‌ای ندارم و فقط دلم می‌خواد گریه کنم.,sadness,sadness,1,,,,,,,4.76,
classify,openrouter,meta-llama/llama-3.3-70b-instruct,8,این روزها هیچ انگیزه‌ای ندارم و فقط دلم می‌خواد گریه کنم.,sadness,sadness,1,,,,,,,3.94,
classify,openrouter,openai/gpt-5,9,چطور تونست انقدر راحت بهم دروغ بگه؟ از دستش خیلی شاکی‌ام.,anger,anger,1,,,,,,,3.21,
